wilayah,mean_slope,std_slope,mean_hand,std_hand,piksel_valid_pct
Aceh Besar,0.299,0.2274,0.6046,0.3753,35.9132
Aceh Tamiang,0.23,0.2268,0.5282,0.3593,49.6807
Aceh Timur,0.2357,0.2138,0.5505,0.3699,52.2497
Aceh Utara,0.1456,0.1487,0.4652,0.3525,56.3729
Agam,0.3155,0.2792,0.5963,0.3703,51.5946
Banda Aceh,0.0455,0.0487,0.0637,0.0525,42.0761
Bireuen,0.2458,0.1978,0.5923,0.3728,62.6938
Langsa,0.0678,0.0869,0.1448,0.1802,52.0175
Pasaman Barat,0.2176,0.2236,0.5083,0.3587,47.087
Pidie,0.332,0.2176,0.6826,0.3659,38.3262
Pidie Jaya,0.3366,0.2279,0.6677,0.3723,56.4286
