wilayah,mean_vv,std_vv,mean_vh,std_vh,piksel_valid_pct
Aceh Besar,0.728,0.1377,0.512,0.1449,35.9132
Aceh Tamiang,0.6924,0.1672,0.4772,0.1579,49.6807
Aceh Timur,0.711,0.1612,0.4984,0.1553,52.2497
Aceh Utara,0.6604,0.2006,0.4485,0.1762,56.3729
Agam,0.6899,0.175,0.4794,0.1614,51.5946
Banda Aceh,0.8002,0.1581,0.5219,0.1575,42.0761
Bireuen,0.7077,0.1468,0.4922,0.1481,62.6938
Langsa,0.6824,0.1838,0.4667,0.1755,52.0175
Pasaman Barat,0.7211,0.1102,0.4955,0.1101,47.087
Pidie,0.7315,0.1492,0.516,0.1536,38.3262
Pidie Jaya,0.7173,0.1502,0.5037,0.1529,56.4286
