wilayah,piksel_valid,piksel_banjir,piksel_non_banjir,water_river_pixels
Aceh Besar,106956513,4966404,101990109,2607154
Aceh Tamiang,82307919,3514376,78793543,4407206
Aceh Timur,206802875,11748572,195054303,9510741
Aceh Utara,102158650,18781032,83377618,12835738
Agam,54576695,1054938,53521757,0
Banda Aceh,2532433,153775,2378658,75817
Bireuen,67149979,3740370,63409609,2439065
Langsa,7395290,471267,6924023,740496
Pasaman Barat,115359798,1304882,114054916,0
Pidie,110864777,6514184,104350593,3026288
Pidie Jaya,34130353,1732878,32397475,1101130
