wilayah,total_tile,tile_valid,tile_positive,tile_background,tile_positive_pct,tile_background_pct
Aceh Besar,518,476,266,210,51.35,40.54
Aceh Tamiang,465,358,207,151,44.52,32.47
Aceh Timur,1063,890,360,530,33.87,49.86
Aceh Utara,493,462,292,170,59.23,34.48
Agam,278,248,103,145,37.05,52.16
Banda Aceh,16,16,16,0,100.0,0.0
Bireuen,303,297,175,122,57.76,40.26
Langsa,41,41,35,6,85.37,14.63
Pasaman Barat,522,485,216,269,41.38,51.53
Pidie,572,468,177,291,30.94,50.87
Pidie Jaya,152,152,83,69,54.61,45.39
