model_rank,model,learning_rate,weight_decay,folds_completed,mean_best_val_iou,std_best_val_iou,mean_best_val_dice,mean_best_val_loss,best_fold,best_fold_epoch,best_fold_val_iou,source_files
1,U-Net,5e-5,1e-4,5,0.6423,0.1675,0.7711,0.7704,0,30,0.8031,runs/unet/fold_0/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_1/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_2/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_3/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/unet/fold_4/grid_lr_5e-5_wd_1e-4/metrics.csv
2,U-Net,1e-4,1e-5,5,0.6381,0.1639,0.7685,0.7205,0,34,0.8071,runs/unet/fold_0/grid_lr_1e-4_wd_1e-5/metrics.csv;runs/unet/fold_1/grid_lr_1e-4_wd_1e-5/metrics.csv;runs/unet/fold_2/grid_lr_1e-4_wd_1e-5/metrics.csv;runs/unet/fold_3/grid_lr_1e-4_wd_1e-5/metrics.csv;runs/unet/fold_4/grid_lr_1e-4_wd_1e-5/metrics.csv
3,U-Net,5e-5,1e-5,5,0.6373,0.1703,0.7668,0.7854,0,21,0.7989,runs/unet/fold_0/grid_lr_5e-5_wd_1e-5/metrics.csv;runs/unet/fold_1/grid_lr_5e-5_wd_1e-5/metrics.csv;runs/unet/fold_2/grid_lr_5e-5_wd_1e-5/metrics.csv;runs/unet/fold_3/grid_lr_5e-5_wd_1e-5/metrics.csv;runs/unet/fold_4/grid_lr_5e-5_wd_1e-5/metrics.csv
4,U-Net,1e-4,1e-4,5,0.6306,0.1831,0.7596,0.7067,0,31,0.7967,runs/unet/fold_0/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/unet/fold_1/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/unet/fold_2/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/unet/fold_3/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/unet/fold_4/grid_lr_1e-4_wd_1e-4/metrics.csv
5,U-Net,1e-5,1e-4,5,0.6084,0.1539,0.7465,0.9261,0,26,0.7482,runs/unet/fold_0/grid_lr_1e-5_wd_1e-4/metrics.csv;runs/unet/fold_1/grid_lr_1e-5_wd_1e-4/metrics.csv;runs/unet/fold_2/grid_lr_1e-5_wd_1e-4/metrics.csv;runs/unet/fold_3/grid_lr_1e-5_wd_1e-4/metrics.csv;runs/unet/fold_4/grid_lr_1e-5_wd_1e-4/metrics.csv
6,U-Net,1e-5,1e-5,5,0.5528,0.2842,0.6658,0.9892,0,16,0.748,runs/unet/fold_0/grid_lr_1e-5_wd_1e-5/metrics.csv;runs/unet/fold_1/grid_lr_1e-5_wd_1e-5/metrics.csv;runs/unet/fold_2/grid_lr_1e-5_wd_1e-5/metrics.csv;runs/unet/fold_3/grid_lr_1e-5_wd_1e-5/metrics.csv;runs/unet/fold_4/grid_lr_1e-5_wd_1e-5/metrics.csv
1,ProCANet,1e-4,1e-4,5,0.6531,0.1723,0.7785,0.7079,0,18,0.8197,runs/procanet/fold_0/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_1/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_2/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_3/grid_lr_1e-4_wd_1e-4/metrics.csv;runs/procanet/fold_4/grid_lr_1e-4_wd_1e-4/metrics.csv
2,ProCANet,1e-4,1e-5,5,0.6492,0.1772,0.7748,0.6714,0,22,0.8184,runs/procanet/fold_0/grid_lr_1e-4_wd_1e-5/metrics.csv;runs/procanet/fold_1/grid_lr_1e-4_wd_1e-5/metrics.csv;runs/procanet/fold_2/grid_lr_1e-4_wd_1e-5/metrics.csv;runs/procanet/fold_3/grid_lr_1e-4_wd_1e-5/metrics.csv;runs/procanet/fold_4/grid_lr_1e-4_wd_1e-5/metrics.csv
3,ProCANet,5e-5,1e-5,5,0.6489,0.1563,0.7776,0.7494,0,31,0.8112,runs/procanet/fold_0/grid_lr_5e-5_wd_1e-5/metrics.csv;runs/procanet/fold_1/grid_lr_5e-5_wd_1e-5/metrics.csv;runs/procanet/fold_2/grid_lr_5e-5_wd_1e-5/metrics.csv;runs/procanet/fold_3/grid_lr_5e-5_wd_1e-5/metrics.csv;runs/procanet/fold_4/grid_lr_5e-5_wd_1e-5/metrics.csv
4,ProCANet,5e-5,1e-4,5,0.6409,0.1762,0.7688,0.7319,0,25,0.8117,runs/procanet/fold_0/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/procanet/fold_1/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/procanet/fold_2/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/procanet/fold_3/grid_lr_5e-5_wd_1e-4/metrics.csv;runs/procanet/fold_4/grid_lr_5e-5_wd_1e-4/metrics.csv
