wilayah,piksel_valid_tile,flood_pct_of_valid,water_river_pct_of_valid,s2_valid_pct_of_valid,mean_slope_degrees,mean_hand_meters
Agam,54576695,1.9329,0.0,0.0,14.2809,76.1701
Langsa,7395290,6.3725,10.0131,0.0,3.0516,7.2746
Aceh Tamiang,82307919,4.2698,5.3545,0.0008,10.3794,68.8762
Pasaman Barat,115359798,1.1311,0.0,0.0022,9.8214,48.9854
Aceh Timur,206802875,5.681,4.5989,53.8605,10.6199,68.6424
Aceh Besar,106956513,4.6434,2.4376,80.5364,13.4724,64.7671
Banda Aceh,2532433,6.0722,2.9938,83.8523,2.0471,3.1854
Bireuen,67149979,5.5702,3.6323,87.9336,11.0642,60.1709
Pidie Jaya,34130353,5.0772,3.2262,91.5386,15.1521,73.536
Pidie,110864777,5.8758,2.7297,95.8625,14.9477,73.3117
