kondisi,model,fold_oof,wilayah,konfigurasi,piksel_kondisi,piksel_dievaluasi,tp,tn,fp,fn,iou,dice,precision,recall,specificity,fpr
Sentinel-2 kosong/hampir kosong,U-Net,0,Pidie,grid_lr_5e-5_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Topografi sulit/kandidat radar shadow,U-Net,0,Pidie,grid_lr_5e-5_wd_1e-4,2425467,2314431,41,2314348,1,41,0.493976,0.66129,0.97619,0.5,1.0,0.0
Badan air permanen/sungai,U-Net,0,Pidie,grid_lr_5e-5_wd_1e-4,85310,82650,0,64540,18110,0,–,–,–,–,0.780883,0.219117
Sentinel-2 kosong/hampir kosong,ProCANet,0,Pidie,grid_lr_1e-4_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Topografi sulit/kandidat radar shadow,ProCANet,0,Pidie,grid_lr_1e-4_wd_1e-4,2425467,2314431,39,2314349,0,43,0.47561,0.644628,1.0,0.47561,1.0,0.0
Badan air permanen/sungai,ProCANet,0,Pidie,grid_lr_1e-4_wd_1e-4,85310,82650,0,62124,20526,0,–,–,–,–,0.751652,0.248348
Sentinel-2 kosong/hampir kosong,U-Net,0,Pidie Jaya,grid_lr_5e-5_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Topografi sulit/kandidat radar shadow,U-Net,0,Pidie Jaya,grid_lr_5e-5_wd_1e-4,934905,927674,44,927260,7,363,0.10628,0.19214,0.862745,0.108108,0.999992,8e-06
Badan air permanen/sungai,U-Net,0,Pidie Jaya,grid_lr_5e-5_wd_1e-4,37930,37930,0,28422,9508,0,–,–,–,–,0.749328,0.250672
Sentinel-2 kosong/hampir kosong,ProCANet,0,Pidie Jaya,grid_lr_1e-4_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Topografi sulit/kandidat radar shadow,ProCANet,0,Pidie Jaya,grid_lr_1e-4_wd_1e-4,934905,927674,44,927264,3,363,0.107317,0.193833,0.93617,0.108108,0.999997,3e-06
Badan air permanen/sungai,ProCANet,0,Pidie Jaya,grid_lr_1e-4_wd_1e-4,37930,37930,0,27563,10367,0,–,–,–,–,0.726681,0.273319
Sentinel-2 kosong/hampir kosong,U-Net,1,Aceh Besar,grid_lr_5e-5_wd_1e-4,1833100,1833100,8817,1788885,5590,29808,0.199412,0.332516,0.611994,0.228272,0.996885,0.003115
Topografi sulit/kandidat radar shadow,U-Net,1,Aceh Besar,grid_lr_5e-5_wd_1e-4,2043811,2020932,32,2019748,105,1047,0.027027,0.052632,0.233577,0.029657,0.999948,5.2e-05
Badan air permanen/sungai,U-Net,1,Aceh Besar,grid_lr_5e-5_wd_1e-4,92179,92179,0,59807,32372,0,–,–,–,–,0.648814,0.351186
Sentinel-2 kosong/hampir kosong,ProCANet,1,Aceh Besar,grid_lr_1e-4_wd_1e-4,1833100,1833100,12076,1789271,5204,26549,0.275525,0.432019,0.698843,0.312647,0.9971,0.0029
Topografi sulit/kandidat radar shadow,ProCANet,1,Aceh Besar,grid_lr_1e-4_wd_1e-4,2043811,2020932,26,2019844,9,1053,0.023897,0.046679,0.742857,0.024096,0.999996,4e-06
Badan air permanen/sungai,ProCANet,1,Aceh Besar,grid_lr_1e-4_wd_1e-4,92179,92179,0,59551,32628,0,–,–,–,–,0.646037,0.353963
Sentinel-2 kosong/hampir kosong,U-Net,1,Banda Aceh,grid_lr_5e-5_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Topografi sulit/kandidat radar shadow,U-Net,1,Banda Aceh,grid_lr_5e-5_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Badan air permanen/sungai,U-Net,1,Banda Aceh,grid_lr_5e-5_wd_1e-4,14595,14595,0,1858,12737,0,–,–,–,–,0.127304,0.872696
Sentinel-2 kosong/hampir kosong,ProCANet,1,Banda Aceh,grid_lr_1e-4_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Topografi sulit/kandidat radar shadow,ProCANet,1,Banda Aceh,grid_lr_1e-4_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Badan air permanen/sungai,ProCANet,1,Banda Aceh,grid_lr_1e-4_wd_1e-4,14595,14595,0,575,14020,0,–,–,–,–,0.039397,0.960603
Sentinel-2 kosong/hampir kosong,U-Net,2,Aceh Tamiang,grid_lr_5e-5_wd_1e-4,21522552,21522552,739104,20118255,528227,136966,0.526316,0.689655,0.583197,0.843659,0.974416,0.025584
Topografi sulit/kandidat radar shadow,U-Net,2,Aceh Tamiang,grid_lr_5e-5_wd_1e-4,1298304,1296234,366,1291502,4023,343,0.077346,0.143586,0.08339,0.51622,0.996895,0.003105
Badan air permanen/sungai,U-Net,2,Aceh Tamiang,grid_lr_5e-5_wd_1e-4,222826,222821,0,56257,166564,0,–,–,–,–,0.252476,0.747524
