region,split,tile_count,positive_tile_count,background_tile_count,flood_pixels,valid_pixels,water_river_pixels,s2_valid_pixels
Aceh_Besar,cv,518,315,203,5429056,106956513,3158036,86170341
Aceh_Tamiang,cv,465,328,137,4578520,82307919,6063139,672
Aceh_Timur,cv,1063,543,520,26605176,206802875,19840072,111438934
Aceh_Utara,test,493,332,161,22122708,102158650,15287896,81365271
Agam,cv,278,139,139,1257081,54576695,0,0
Banda_Aceh,cv,16,16,0,326952,2532433,214485,2130841
Bireuen,cv,303,186,117,3827030,67149979,2543747,59076594
Langsa,cv,41,37,4,933776,7395290,1289133,0
Pasaman_Barat,cv,522,261,261,1462154,115359798,0,2496
Pidie,cv,572,286,286,9351866,110864777,4606256,106314945
Pidie_Jaya,cv,152,83,69,2099420,34130353,1301551,31261734
